식품명,식품군명,1회제공량,내용량_단위,총내용량(g),총내용량(mL),에너지(㎉),단백질(g),지방(g),탄수화물(g),총당류(g),나트륨(㎎),콜레스테롤(㎎)
덴마크드링킹요구르트 청포도,유가공품,150,g,310,-,130,5,5,16,12,80,15
짜요짜요 포도,유가공품,40,g,40,-,100,4,3,14,12,50,15
목장의 신선함이 살아있는 딸기요구르트,유가공품,225,g,100,-,97.3,3.3,2.5,15.4,7.7,49.1,8.5
액티비아 업 시트러스플레인,유가공품,210,g,210,-,99,5.7,0,19,17,105,0
비피더스 드링킹요구르트 사과,유가공품,300,g,300,-,135,4.7,1,27,18,120,5
슈퍼100 플레인,유가공품,90,g,90,-,60,3,3,5,5,45,10
파스퇴르 쾌변포도,유가공품,150,g,150,-,160,5,4.5,28,14,80,10
허니 더블 요구르트,유가공품,140,g,140,-,55,2,0,12,11,32,0
플레인 요거트,유가공품,83,g,83,-,80,3.8,2,11,11,55,10
액티비아 업 복숭아,유가공품,210,g,210,-,99,5.7,0,19,17,105,0
요플레 키즈 딸기,유가공품,40,g,40,-,45,1.8,1.4,6,4.8,20,5
파스퇴르 요구르트,유가공품,65,g,65,-,35,1,0,8,8,8,0
세브란스 위락,유가공품,150,g,150,-,155,5,4.5,23,13,90,15
그랜드 라이트,유가공품,80,g,280,-,17,1,0,3,6,1,0
바이오 프로바이오틱 드링킹요거트 애플망고,유가공품,100,g,250,-,80,3,2.1,12,11,65,10
어린이요구르트앙팡,유가공품,65,g,65,-,50,1,1.2,9,6,20,4
비피더스 요구르트,유가공품,130,g,130,-,75,2.5,0,16,12,50,0
남양 자연의 시작 불가리스 복숭아,유가공품,150,g,150,-,135,5,4,21,11,85,16
바이오 프로바이오틱 플레인 저지방,유가공품,100,g,450,-,60,5,1.5,6,4.5,80,10
파스퇴르 쾌변골드키위,유가공품,150,g,150,-,160,5,4.5,28,14,80,20
드링킹요구르트 딸기,유가공품,300,g,300,-,220,8.4,5,36,21,165,20
드링킹요구르트 사과,유가공품,300,g,300,-,220,8.4,5,36,21,165,20
요플레 오프룻 딸기&알로에,유가공품,180,g,180,-,145,5,2.6,25,20,100,10
아이러브요거트 병 사과,유가공품,130,g,130,-,64,3,0,13,11,50,0
캐리와장난감친구들요구르트,유가공품,80,g,80,-,51,0.7,0,12,8,15,0
요플레 토핑 다크초코,유가공품,125,g,125,-,165,6,6,23,18,130,20
액티비아 컵 복숭아,유가공품,80,g,80,-,65,3,1.8,10,7,60,10
파스퇴르 바른목장 요구르트,유가공품,100,g,100,-,60,1,1,12,10,20,10
요하임 플레인 요거트,유가공품,100,g,400,-,70,4.5,3.5,5,4,75,10
요하임 딸기,유가공품,100,g,400,-,105,4,3,15,13,55,8
프리미엄 후레쉬 생크림 요거트,유가공품,83,g,83,-,115,2.6,7,10,10,50,25
요플레 데일리 드링킹요거트 딸기,유가공품,300,g,300,-,210,9,4.4,34,34,190,20
딸기 담은 요구르트,유가공품,80,g,750,-,65,2,1,12,8,35,3
풀무원다논 그릭 블루베리,유가공품,95,g,95,-,95,6,2.1,13,11,65,10
후디스 그릭요거트 코코포도,유가공품,80,g,80,-,115,5,3.6,16,15,60,12
매일 바이오 화이버&칼슘 드링킹 요거트 플레인,유가공품,150,g,150,-,120,4,3.1,20,16,80,10
요구하이,유가공품,145,g,145,-,80,2,3,18,13,30,0
액티비아 컵 화이트 0% 플레인,유가공품,90,g,90,-,65,3.7,2.4,7,6,60,10
뽀로로와친구들사과,유가공품,80,g,80,-,50,1,0,11,7,25,0
액티비아 병 화이트 0% 플레인,유가공품,130,g,130,-,75,5,3,7,3,60,10
낙안목장요구르트,유가공품,80,g,500,-,70,3,3.1,8,7,35,10
상하목장 유기농 요구르트 80 ,유가공품,80,g,80,-,50,1,0,11,10,25,2
도마슈노 베리믹스 요거트,유가공품,180,g,180,-,150,6,4,23,20,95,15
하나로 오케이 쿡 서울우유 요구르트,유가공품,270,g,270,-,172,3,0,40,30,50,0
이오 베이비,유가공품,80,g,80,-,60,1.5,1.5,9.5,4,30,6
매일 바이오 화이버&칼슘 드링킹 요거트 사과,유가공품,150,g,150,-,125,4,3.1,22,18,80,10
덴마크 드링킹요구르트 파인애플,유가공품,150,g,310,-,110,5,4,14,12,90,20
불가리스 위쎈 저지방,유가공품,150,g,150,-,130,6,2.2,23,10.5,88,17
요러브복숭아요거트,유가공품,85,g,85,-,85,3,2.6,12,12,55,7
드링킹요구르트 포도,유가공품,300,g,300,-,220,8.4,5,36,21,165,20
바이오 프로바이오틱 청포도 요거트,유가공품,85,g,85,-,75,3.5,1.4,12.5,12,65,6
후디스 그릭요거트 딸기,유가공품,80,g,80,-,115,5,3.6,16,15,60,12
매일 바이오 화이버&칼슘 드링킹 요거트 백도,유가공품,150,g,150,-,120,4,3.1,20,17,80,10
액티비아 병 블루베리,유가공품,130,g,130,-,92,4,2.6,13,12,70,9
남양 자연의 시작 불가리스 플레인,유가공품,150,g,150,-,135,5,4,21,11,85,16
요플레 라이트,유가공품,80,g,80,-,65,2,2.7,8,7.5,35,9
비타민 요구르트,유가공품,65,g,65,-,45,1,0,10,9,15,0
케피어12 플레인,유가공품,100,g,750,-,70,3,1.9,10,10,50,5
덴마크 사워크림,유가공품,100,g,450,-,210,3,20,5,3,50,60
키짱 yourt,유가공품,80,g,80,-,55,1,1.5,9,7,50,3
얼려먹는 야쿠르트,유가공품,110,g,110,-,80,1,0,20,16,25,0
OKCOOK 진심안심 요구르트,유가공품,65,g,65,-,15,0.7,0,1,3,1,0
오직 우유 100%로 만든 요구르트,유가공품,100,g,500,-,65,3,3.8,5,5,50,15
불가리스 milk 100,유가공품,85,g,85,-,60,3,3.3,4,4,45,10
유기농 드링킹 요거트,유가공품,180,g,180,-,160,3,7,19,18,90,10
장앤미 아사이베리,유가공품,150,g,150,-,155,5,4.5,27,19,75,15
바이오 프로바이오틱 블루베리 요거트,유가공품,90,g,90,-,85,3.2,1.7,14,13.5,60,5
식물성 유산균 쌀,유가공품,150,g,150,-,75,3,0,30,13,75,3
요플레 키즈 포도,유가공품,40,g,40,-,45,1.8,1.4,6,4.8,20,3
요하임 복숭아,유가공품,100,g,400,-,105,4,3,15,13,55,8
요플레 데일리 드링킹요거트 플레인,유가공품,300,g,300,-,210,9,4.4,34,34,190,20
드링킹요거트 티 사과,유가공품,150,g,150,-,140,5,4.5,20,20,75,10
부산우유 비피더스 포도,유가공품,140,g,140,-,90,3,2,15,12,75,9
야쿠르트,유가공품,65,g,65,-,45,1,0,10,9,15,0
요플레 닥터캡슐 프로텍트 플레인,유가공품,130,g,130,-,130,4.4,3.1,21,9.3,80,20
비요뜨그래놀라,유가공품,145,g,145,-,205,7,7,29,18,130,15
요플레 토핑 오트&애플시나몬,유가공품,125,g,125,-,165,6,5,23,16,85,20
도마슈노 백도 요거트,유가공품,180,g,180,-,150,6,4,23,20,120,15
요플레오리지널블루베리,유가공품,85,g,85,-,85,3,2.6,13,11,50,10
비요뜨 베리믹스,유가공품,170,g,170,-,85,4,4,33,22,100,15
